hostname;ip;versao_atual_completa;versao_para_atualizar;data_coleta;precisa_atualizar
;2026-09-04;NAO
hdt-ivl-apl1;10.98.0.72;11 (Bullseye)
;
;2026-09-04;NAO
hdt-hvl-pg1;10.98.0.100;11 (Bullseye)
;
;2026-09-04;NAO
hdt-pvl-apr1;10.98.0.23;11 (Bullseye)
;
;2026-09-04;NAO
hdt-pvl-prt1;10.98.0.20;11 (Bullseye)
;
;2026-09-04;NAO
hdt-pvl-pg1;10.98.0.19;11 (Bullseye)
;
;2026-09-04;NAO
hdt-pvl-pg2;10.98.0.60;11 (Bullseye)
;
;2026-09-04;NAO
hdt-pvl-pg3;172.17.84.12;11 (Bullseye)
;
;2026-09-04;NAO
hdt-pvl-prx1;10.98.0.160;11 (Bullseye)
;
;2026-09-04;NAO
hdt-pvl-dck1;10.98.0.202;11 (Bullseye)
;
;2026-09-04;NAO
hdt-pvl-apl1;10.98.0.18;11 (Bullseye)
;
;2026-09-04;NAO
hdt-pvl-apl3;10.98.0.188;11 (Bullseye)
;
;2026-09-04;NAO
hdt-pvl-apl2;10.98.0.21;11 (Bullseye)
;
;2026-09-04;NAO
hdt-pvl-pac1;10.98.0.172;11 (Bullseye)
;
;2026-09-04;NAO
hdt-pvl-lec1;10.98.0.171;12 (Bookworm)
;
;2026-09-04;NAO
hdt-pvl-rnds1;10.98.0.183;11 (Bullseye)
;
;2026-09-04;NAO
pel-pvl-apr1;10.100.1.20;11 (Bullseye)
;
;2026-09-04;NAO
pel-hvl-apl1;10.100.1.15;11 (Bullseye)
;
;2026-09-04;NAO
pel-pvl-prt1;10.100.1.60;11 (Bullseye)
;
;2026-09-04;NAO
pel-pvl-pg1;10.100.1.17;11 (Bullseye)
;
;2026-09-04;NAO
pel-pvl-pg2;10.100.1.45;11 (Bullseye)
;
;2026-09-04;NAO
pel-pvl-dck1;10.100.1.61;11 (Bullseye)
;
;2026-09-04;NAO
pel-pvl-pg3;172.17.84.13;11 (Bullseye)
;
;2026-09-04;NAO
pel-pvl-prx1;10.100.1.27;11 (Bullseye)
;
;2026-09-04;NAO
pel-pvl-apl1;10.100.1.42;11 (Bullseye)
;
;2026-09-04;NAO
pel-pvl-apl2;10.100.1.43;11 (Bullseye)
;
;2026-09-04;NAO
pel-pvl-apl3;10.100.1.23;11 (Bullseye)
;
;2026-09-04;NAO
vasf-hvl-pg1;10.44.2.183;11 (Bullseye)
;
;2026-09-04;NAO
vasf-hvl-apl1;10.44.2.187;11 (Bullseye)
;
;2026-09-04;NAO
vasf-pvl-apr1;10.44.2.180;11 (Bullseye)
;
;2026-09-04;NAO
vasf-pvl-prt1;10.44.2.173;11 (Bullseye)
;
;2026-09-04;NAO
vasf-pvl-dck1;10.44.2.201;11 (Bullseye)
;
;2026-09-04;NAO
hewab-pvl-postgresql3;172.17.84.51;11 (Bullseye)
;
;2026-09-04;NAO
vasf-pvl-pg1;10.44.2.176;11 (Bullseye)
;
;2026-09-04;NAO
vasf-pvl-pg2;10.44.2.47;11 (Bullseye)
;
;2026-09-04;NAO
vasf-pvl-apl1;10.44.2.188;11 (Bullseye)
;
;2026-09-04;NAO
hrl-pvl-apl1;10.8.3.106;11 (Bullseye)
;
;2026-09-04;NAO
vasf-pvl-apl3;10.44.2.191;11 (Bullseye)
;
;2026-09-04;NAO
hrl-pvl-apl2;10.8.3.110;11 (Bullseye)
;
;2026-09-04;NAO
hrl-pvl-apl3;10.8.3.99;11 (Bullseye)
;
;2026-09-04;NAO
hrl-pvl-apr1;10.8.3.111;11 (Bullseye)
;
;2026-09-04;NAO
hrl-pvl-pg2;10.8.3.98;11 (Bullseye)
;
;2026-09-04;NAO
hrl-pvl-pg1;10.8.3.105;11 (Bullseye)
;
;2026-09-04;NAO
hrl-pvl-pg3;172.17.84.49;11 (Bullseye)
;
;2026-09-04;NAO
hrl-pvl-prx1;10.8.3.123;11 (Bullseye)
;
;2026-09-04;NAO
hrl-pvl-dck1;10.8.1.20;11 (Bullseye)
;
;2026-09-04;NAO
huab-hvl-pg1;10.30.2.15;11 (Bullseye)
;
;2026-09-04;NAO
huab-hvl-apl1;10.30.2.24;11 (Bullseye)
;
;2026-09-04;NAO
huab-ivl-apl1;10.30.2.25;11 (Bullseye)
;
;2026-09-04;NAO
huab-pvl-apr1;10.30.2.60;11 (Bullseye)
;
;2026-09-04;NAO
huab-pvl-prt1;10.30.2.239;11 (Bullseye)
;
;2026-09-04;NAO
huab-pvl-pg1;10.30.2.30;11 (Bullseye)
;
;2026-09-04;NAO
huab-pvl-pg2;10.30.2.91;11 (Bullseye)
;
;2026-09-04;NAO
huab-pvl-pg3;172.17.84.17;11 (Bullseye)
;
;2026-09-04;NAO
huab-pvl-apl1;10.30.2.22;11 (Bullseye)
;
;2026-09-04;NAO
huab-pvl-apl2;10.30.2.31;11 (Bullseye)
;
;2026-09-04;NAO
huab-pvl-apl3;10.30.2.92;11 (Bullseye)
;
;2026-09-04;NAO
huab-pvl-prx1;10.30.2.174;11 (Bullseye)
;
;2026-09-04;NAO
huab-pvl-dck1;10.30.2.241;11 (Bullseye)
;
;2026-09-04;NAO
huac-hvl-apl1;10.64.2.162;11 (Bullseye)
;
;2026-09-04;NAO
huac-hvl-pg1;10.64.2.163;11 (Bullseye)
;
;2026-09-04;NAO
huac-ivl-apl1;10.64.2.164;11 (Bullseye)
;
;2026-09-04;NAO
huac-pvl-apr1;10.64.2.33;11 (Bullseye)
;
;2026-09-04;NAO
huac-pvl-pg1;10.64.2.38;11 (Bullseye)
;
;2026-09-04;NAO
huac-pvl-pg3;172.17.84.18;11 (Bullseye)
;
;2026-09-04;NAO
huac-pvl-pg2;10.64.2.42;11 (Bullseye)
;
;2026-09-04;NAO
huac-pvl-apl1;10.64.2.36;11 (Bullseye)
;
;2026-09-04;NAO
huac-pvl-apl2;10.64.2.161;11 (Bullseye)
;
;2026-09-04;NAO
huac-pvl-apl3;10.64.2.43;11 (Bullseye)
;
;2026-09-04;NAO
huac-pvl-dck1;10.64.2.196;11 (Bullseye)
;
;2026-09-04;NAO
huap-hvl-pg1;10.88.1.245;11 (Bullseye)
;
;2026-09-04;NAO
huap-hvl-apl1;10.88.1.243;11 (Bullseye)
;
;2026-09-04;NAO
huap-ivl-apl1;10.88.1.123;11 (Bullseye)
;
;2026-09-04;NAO
huap-pvl-pg1;10.88.1.246;11 (Bullseye)
;
;2026-09-04;NAO
huap-pvl-pg3;172.17.84.19;11 (Bullseye)
;
;2026-09-04;NAO
huap-pvl-pg2;10.88.1.242;11 (Bullseye)
;
;2026-09-04;NAO
huap-pvl-apl1;10.88.1.124;11 (Bullseye)
;
;2026-09-04;NAO
huap-pvl-apl2;10.88.1.125;11 (Bullseye)
;
;2026-09-04;NAO
huap-pvl-apl3;10.88.1.126;11 (Bullseye)
;
;2026-09-04;NAO
bfs-pvl-prt1;10.80.235.15;11 (Bullseye)
;
;2026-09-04;NAO
bfs-pvl-pg2;10.80.235.11;11 (Bullseye)
;
;2026-09-04;NAO
bfs-pvl-pg1;10.80.235.9;11 (Bullseye)
;
;2026-09-04;NAO
bfs-pvl-pg3;172.17.85.188;11 (Bullseye)
;
;2026-09-04;NAO
bfs-pvl-apl1;10.80.235.19;11 (Bullseye)
;
;2026-09-04;NAO
bfs-pvl-apl2;10.80.235.10;11 (Bullseye)
;
;2026-09-04;NAO
bfs-pvl-apl3;10.80.235.16;11 (Bullseye)
;
;2026-09-04;NAO
bfs-pvl-prx1;10.80.235.7;11 (Bullseye)
;
;2026-09-04;NAO
bfs-pvl-dck1;10.80.235.18;11 (Bullseye)
;
;2026-09-04;NAO
cam-hvl-pg1;10.5.17.248;11 (Bullseye)
;
;2026-09-04;NAO
cam-hvl-apl1;10.5.17.232;11 (Bullseye)
;
;2026-09-04;NAO
cam-ivl-apl1;10.5.17.251;11 (Bullseye)
;
;2026-09-04;NAO
cam-pvl-apr1;10.5.17.250;11 (Bullseye)
;
;2026-09-04;NAO
cam-pvl-prt1;10.5.17.209;11 (Bullseye)
;
;2026-09-04;NAO
cam-pvl-pg1;10.5.17.243;11 (Bullseye)
;
;2026-09-04;NAO
cam-pvl-pg3;172.17.84.21;11 (Bullseye)
;
;2026-09-04;NAO
cam-pvl-prx1;10.5.17.230;11 (Bullseye)
;
;2026-09-04;NAO
cam-pvl-pg2;10.5.17.242;11 (Bullseye)
;
;2026-09-04;NAO
cam-pvl-apl1;10.5.17.221;11 (Bullseye)
;
;2026-09-04;NAO
cam-pvl-apl2;10.5.17.222;11 (Bullseye)
;
;2026-09-04;NAO
cam-pvl-apl3;10.5.17.235;11 (Bullseye)
;
;2026-09-04;NAO
cff-hvl-pg1;10.141.0.120;11 (Bullseye)
;
;2026-09-04;NAO
cff-hvl-apl1;10.141.0.122;11 (Bullseye)
;
;2026-09-04;NAO
cff-ivl-apl1;10.141.0.121;11 (Bullseye)
;
;2026-09-04;NAO
cff-pvl-apr1;10.141.0.30;11 (Bullseye)
;
;2026-09-04;NAO
cff-pvl-prt1;10.141.0.33;11 (Bullseye)
;
;2026-09-04;NAO
cff-pvl-dck1;10.141.0.104;13 (Trixie)
;
;2026-09-04;NAO
cff-pvl-pg1;10.141.0.34;11 (Bullseye)
;
;2026-09-04;NAO
cff-pvl-pg2;10.141.0.112;11 (Bullseye)
;
;2026-09-04;NAO
cff-pvl-prx1;10.141.0.45;11 (Bullseye)
;
;2026-09-04;NAO
cff-pvl-pg3;172.17.84.87;11 (Bullseye)
;
;2026-09-04;NAO
cff-pvl-apl1;10.141.0.36;11 (Bullseye)
;
;2026-09-04;NAO
